Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
Brown Bear,70-120,70-780,Brown,20-30,Omnivore,"Forests, Mountains","Wolves, Tigers",48,"North America, Europe, Asia",Least Concern,Ursidae,180-250,48,Solitary,04-Jan,"The brown bear (Ursus arctos) is a large bear native to Eurasia and North America. Of the carnivorans, it is rivaled in size only by its closest relative, the polar bear, which is much less variable in size and slightly bigger on average. The brown bear is a sexually dimorphic species, as adult males are larger and more compactly built than females. The fur ranges in color from cream to reddish to dark brown. It has evolved large hump muscles, unique among bears, and paws up to 21 cm (8.3 in) wide and 36 cm (14 in) long, to effectively dig through dirt. Its teeth are similar to those of other bears and reflect its dietary plasticity.

Throughout the brown bear's range, it inhabits mainly forested habitats in elevations of up to 5,000 m (16,000 ft). It is omnivorous, and consumes a variety of plant and animal species. Contrary to popular belief, the brown bear derives 90% of its diet from plants. When hunting, it will target animals as small as rodents, to those as large as moose or muskoxen. In parts of coastal Alaska, brown bears predominantly feed on spawning salmon that come near shore to lay their eggs. For most of the year, it is a usually solitary animal that associates only when mating or raising cubs. Females give birth to an average of one to three cubs that remain with their mother for 1.5 to 4.5 years. It is a long-lived animal, with an average lifespan of 25 years in the wild. Relative to its body size, the brown bear has an exceptionally large brain. This large brain allows for high cognitive abilities, such as tool use. Attacks on humans, though widely reported, are generally rare.

While the brown bear's range has shrunk, and it has faced local extinctions across its wide range, it remains listed as a least concern species by the International Union for Conservation of Nature (IUCN) with a total estimated population in 2017 of 110,000. Populations that were hunted to extinction in the 19th and 20th centuries are the Atlas bear of North Africa and the Californian, Ungavan and Mexican populations of the grizzly bear of North America. Many of the populations in the southern parts of Eurasia are highly endangered as well. One of the smaller-bodied forms, the Himalayan brown bear, is critically endangered: it occupies only 2% of its former range and is threatened by uncontrolled poaching for its body parts. The Marsican brown bear of central Italy is one of several currently isolated populations of the Eurasian brown bear and is believed to have a population of only about 50 bears.

The brown bear is considered to be one of the most popular of the world's charismatic megafauna. It has been kept in zoos since ancient times, and has been tamed and trained to perform in circuses and other acts. For thousands of years, the brown bear has had a role in human culture, and is often featured in literature, art, folklore, and mythology."
Burmese Python,Up to 460,Up to 90,"Brown, Black",20-25,Carnivore,"Grasslands, Forests","Leopards, Hawksbills",1.6-2.4,"Southeast Asia, South Asia, Indonesia",Least Concern,Pythonidae,88-100,1.6-2.4,Solitary,30-80,"The Burmese python (Python bivittatus) is one of the largest species of snakes. It is native to a large area of Southeast Asia and is listed as Vulnerable on the IUCN Red List. Until 2009, it was considered a subspecies of the Indian python, but is now recognized as a distinct species. It is an invasive species in Florida as a result of the pet trade.

The Burmese python is a dark-colored non-venomous snake with many brown blotches bordered by black down the back. In the wild, Burmese pythons typically grow to 5 m (16 ft). This species is sexually dimorphic in size; females average only slightly longer, but are considerably heavier and bulkier than the males. For example, length-weight comparisons in captive Burmese pythons for individual females have shown: at 3.47 m (11 ft 5 in) length, a specimen weighed 29 kg (64 lb), a specimen of just over 4 m (13 ft) weighed 36 kg (79 lb), a specimen of 4.5 m (15 ft) weighed 40 kg (88 lb), and a specimen of 5 m (16 ft) weighed 75 kg (165 lb). In comparison, length-weight comparisons for males found: a specimen of 2.8 m (9 ft 2 in) weighed 12 kg (26 lb), 2.97 m (9 ft 9 in) weighed 14.5 kg (32 lb), a specimen of 3 m (9.8 ft) weighed 7 kg (15 lb), and a specimen of 3.05 m (10.0 ft) weighed 18.5 kg (41 lb).

The Burmese python occurs throughout Southern and Southeast Asia, including eastern India, southeastern Nepal, western Bhutan, southeastern Bangladesh, Myanmar, Thailand, Laos, Cambodia, Vietnam, northern continental Malaysia, and southern China in Fujian, Jiangxi, Guangdong, Hainan, Guangxi, and Yunnan. It also occurs in Hong Kong, and in Indonesia on Java, southern Sulawesi, Bali, and Sumbawa. It has also been reported in Kinmen. It is an excellent swimmer and needs a permanent source of water. It lives in grasslands, marshes, swamps, rocky foothills, woodlands, river valleys, and jungles with open clearings. It is a good climber and has a prehensile tail. It can stay in water for 30 minutes but mostly stays on land.

Burmese pythons are mainly nocturnal rainforest dwellers. When young, they are equally at home on the ground and in trees, but as they gain girth, they tend to restrict most of their movements to the ground. They are also excellent swimmers, being able to stay submerged for up to half an hour. Burmese pythons spend the majority of their time hidden in the underbrush. In the northern parts of its range, the Burmese python may brumate for some months during the cold season in a hollow tree, a hole in the riverbank, or under rocks. They tend to be solitary and are usually found in pairs only when mating.

Like all snakes, the Burmese python is carnivorous. Its diet consists primarily of birds and mammals, but also includes amphibians and reptiles. It is a sit-and-wait predator, meaning it spends most of its time staying relatively still, waiting for prey to approach, then striking rapidly."
Capybara,50-62,35-66,Brown,10,Herbivore,"Grasslands, Swamps","Jaguars, Anacondas",30-35,South America,Least Concern,Caviidae,150,35,Group-based,08-Feb,"The capybara or greater capybara (Hydrochoerus hydrochaeris) is the largest living rodent, native to South America. It is a member of the genus Hydrochoerus. The only other extant member is the lesser capybara (Hydrochoerus isthmius). Its close relatives include guinea pigs and rock cavies, and it is more distantly related to the agouti, the chinchilla, and the nutria. The capybara inhabits savannas and dense forests, and lives near bodies of water. It is a highly social species and can be found in groups as large as 100 individuals, but usually live in groups of 10–20 individuals. The capybara is hunted for its meat and hide and also for grease from its thick fatty skin.

The capybara has a heavy, barrel-shaped body and short head, with reddish-brown fur on the upper part of its body that turns yellowish-brown underneath. Its sweat glands can be found in the surface of the hairy portions of its skin, an unusual trait among rodents. The animal lacks down hair, and its guard hair differs little from over hair. Adult capybaras grow to 106 to 134 cm (3.48 to 4.40 ft) in length, stand 50 to 62 cm (20 to 24 in) tall at the withers, and typically weigh 35 to 66 kg (77 to 146 lb), with an average in the Venezuelan llanos of 48.9 kg (108 lb). Females are slightly heavier than males. The top recorded weights are 91 kg (201 lb) for a wild female from Brazil and 73.5 kg (162 lb) for a wild male from Uruguay. Their hind legs are slightly longer than their forelegs; they have three toes on their rear feet and four toes on their front feet. Their muzzles are blunt, with nostrils, and the eyes and ears are near the top of their heads.

Capybaras are semiaquatic mammals found throughout all countries of South America except Chile. They live in densely forested areas near bodies of water, such as lakes, rivers, swamps, ponds, and marshes, as well as flooded savannah and along rivers in the tropical rainforest. They are superb swimmers and can hold their breath underwater for up to five minutes at a time. Capybara have flourished in cattle ranches. They roam in home ranges averaging 10 hectares (25 acres) in high-density populations.

Capybaras are herbivores, grazing mainly on grasses and aquatic plants, as well as fruit and tree bark. They are very selective feeders and feed on the leaves of one species and disregard other species surrounding it. They eat a greater variety of plants during the dry season, as fewer plants are available. While they eat grass during the wet season, they have to switch to more abundant reeds during the dry season. Plants that capybaras eat during the summer lose their nutritional value in the winter, so they are not consumed at that time. The capybara's jaw hinge is not perpendicular, so they chew food by grinding back-and-forth rather than side-to-side. Capybaras are autocoprophagous, meaning they eat their own feces as a source of bacterial gut flora, to help digest the cellulose in the grass that forms their normal diet, and to extract the maximum protein and vitamins from their food. They also regurgitate food to masticate again, similar to cud-chewing by cattle. Like other rodents, a capybara's front teeth grow continually to compensate for the constant wear from eating grasses; their cheek teeth also grow continuously."
Cheetah,70-90,20-72,Tan with Black Spots,12,Carnivore,"Grasslands, Savannas","Lions, Hyenas",112,"Africa, Iran, India",Vulnerable,Felidae,90-98,112,Solitary,05-Mar,"The cheetah (Acinonyx jubatus) is a large cat and the fastest land animal. It has a tawny to creamy white or pale buff fur that is marked with evenly spaced, solid black spots. The head is small and rounded, with a short snout and black tear-like facial streaks. It reaches 67–94 cm (26–37 in) at the shoulder, and the head-and-body length is between 1.1 and 1.5 m (3 ft 7 in and 4 ft 11 in). Adults weigh between 21 and 72 kg (46 and 159 lb). The cheetah is capable of running at 93 to 104 km/h (58 to 65 mph); it has evolved specialized adaptations for speed, including a light build, long thin legs and a long tail.

The cheetah was first described in the late 18th century. Four subspecies are recognised today that are native to Africa and central Iran. An African subspecies was introduced to India in 2022. It is now distributed mainly in small, fragmented populations in northwestern, eastern and southern Africa and central Iran. It lives in a variety of habitats such as savannahs in the Serengeti, arid mountain ranges in the Sahara, and hilly desert terrain.

The cheetah lives in three main social groups: females and their cubs, male ""coalitions"", and solitary males. While females lead a nomadic life searching for prey in large home ranges, males are more sedentary and instead establish much smaller territories in areas with plentiful prey and access to females. The cheetah is active during the day, with peaks during dawn and dusk. It feeds on small- to medium-sized prey, mostly weighing under 40 kg (88 lb), and prefers medium-sized ungulates such as impala, springbok and Thomson's gazelles. The cheetah typically stalks its prey within 60–100 m (200–330 ft) before charging towards it, trips it during the chase and bites its throat to suffocate it to death. It breeds throughout the year. After a gestation of nearly three months, females give birth to a litter of three or four cubs. Cheetah cubs are highly vulnerable to predation by other large carnivores. They are weaned at around four months and are independent by around 20 months of age.

The cheetah is threatened by several factors, like habitat loss and fragmentation of populations. Habitat loss is caused mainly by the introduction of commercial land use, such as agriculture and industry. It is further aggravated by ecological degradation, like woody plant encroachment, which is common in southern Africa. Moreover, the species apparently requires a sizeable area to live in as indicated by its low population densities. Shortage of prey and conflict with other species such as humans and large carnivores are other major threats. The reduced genetic variability makes cheetahs more vulnerable to diseases; however, the threat posed by infectious diseases may be minor, given the low population densities and hence a reduced chance of infection.

The global cheetah population was estimated in 2021 at 6,517; it is listed as Vulnerable on the IUCN Red List. It has been widely depicted in art, literature, advertising, and animation. It was tamed in ancient Egypt and trained for hunting ungulates in the Arabian Peninsula and India. It has been kept in zoos since the early 19th century."
Chimpanzee,Up to 160,26-70,Black,40-50,Omnivore,"Rainforests, Grasslands","Leopards, Humans",40,Central and West Africa,Endangered,Hominidae,230-240,40,Social groups,1,"The chimpanzee (Pan troglodytes), also simply known as the chimp, is a species of great ape native to the forests and savannahs of tropical Africa. It has four confirmed subspecies and a fifth proposed one. When its close relative the bonobo was more commonly known as the pygmy chimpanzee, this species was often called the common chimpanzee or the robust chimpanzee. The chimpanzee and the bonobo are the only species in the genus Pan. Evidence from fossils and DNA sequencing shows that Pan is a sister taxon to the human lineage and is thus humans' closest living relative.

The chimpanzee is covered in coarse black hair but has a bare face, fingers, toes, palms of the hands, and soles of the feet. It is larger and more robust than the bonobo, weighing 40–70 kg (88–154 lb) for males and 27–50 kg (60–110 lb) for females and standing 150 cm (4 ft 11 in).

The chimpanzee lives in groups that range in size from 15 to 150 members, although individuals travel and forage in much smaller groups during the day. The species lives in a strict male-dominated hierarchy, where disputes are generally settled without the need for violence. Nearly all chimpanzee populations have been recorded using tools, modifying sticks, rocks, grass and leaves and using them for hunting and acquiring honey, termites, ants, nuts and water. The species has also been found creating sharpened sticks to spear small mammals. Its gestation period is eight months. The infant is weaned at about three years old but usually maintains a close relationship with its mother for several years more.

The chimpanzee is a highly adaptable species. It lives in a variety of habitats, including dry savanna, evergreen rainforest, montane forest, swamp forest, and dry woodland-savanna mosaic. The chimpanzee has an advanced cognitive map of its home range and can repeatedly find food. The chimpanzee builds a sleeping nest in a tree in a different location each night, never using the same nest more than once. Chimpanzees sleep alone in separate nests except for infants or juvenile chimpanzees, which sleep with their mothers.

The chimpanzee is an omnivorous frugivore. It prefers fruit above all other food, but it also eats leaves, leaf buds, seeds, blossoms, stems, pith, bark, and resin. While the chimpanzee is mostly herbivorous, it does eat honey, soil, insects, birds and their eggs, and small to medium-sized mammals, including other primates. Insect species consumed include the weaver ant Oecophylla longinoda, Macrotermes termites, and honey bees.

The chimpanzee is listed on the IUCN Red List as an endangered species. Between 170,000 and 300,000 individuals are estimated across its range. The biggest threats to the chimpanzee are habitat loss, poaching, and disease. Chimpanzees appear in Western popular culture as stereotyped clown-figures and have featured in entertainments such as chimpanzees' tea parties, circus acts and stage shows. Although chimpanzees have been kept as pets, their strength, aggressiveness, and unpredictability makes them dangerous in this role. Some hundreds have been kept in laboratories for research, especially in the United States. Many attempts have been made to teach languages such as American Sign Language to chimpanzees, with limited success."
Chinese Giant Salamander,Up to 180,Up to 65,Dark Brown,Up to 70,Carnivore,Freshwater,"Fish, Crustaceans",Not Applicable,China,Critically Endangered,Cryptobranchidae,50-60,Not Applicable,Solitary,Not Applicable,"The Chinese giant salamander (Andrias davidianus) is one of the largest salamanders and one of the largest amphibians in the world. It is fully aquatic, and is endemic to rocky mountain streams and lakes in the Yangtze river basin of central China. It has also been introduced to Kyoto Prefecture in Japan, and possibly to Taiwan. It is considered critically endangered in the wild due to habitat loss, pollution, and overcollection, as it is considered a delicacy and used in traditional Chinese medicine. On farms in central China, it is extensively farmed and sometimes bred, although many of the salamanders on the farms are caught in the wild. It has been listed as one of the top-10 ""focal species"" in 2008 by the Evolutionarily Distinct and Globally Endangered project.

It has a large head, small eyes and dark wrinkly skin. Its flat, broad head has a wide mouth, round, lidless eyes, and a line of paired tubercles that run around its head and throat. Its color is typically dark brown with a mottled or speckled pattern, but it can also be other brownish tones, dark reddish, or black. Albinos, which are white or orange, have been recorded. All species of giant salamanders produce a sticky, white skin secretion that repels predators.

The giant salamander is known to vocalize, making barking, whining, hissing, or crying sounds. Some of these vocalizations bear a striking resemblance to the crying of a young human child, and as such, it is known in the Chinese language as the ""infant fish"".

The Chinese giant salamander has been recorded feeding on insects, millipedes, horsehair worms, amphibians (both frogs and salamanders), freshwater crabs, shrimp, fish (such as Saurogobio and Cobitis), and Asiatic water shrew. Presumably ingested by mistake, plant material and gravel have also been found in their stomachs. Cannibalism is frequent; in a study of 79 specimens from the Qinling–Dabashan range, the stomach content of five included remains of other Chinese giant salamanders and this made up 28% of the combined weight of all food items in the study. The most frequent items in the same study were freshwater crabs (found in 19 specimens), which made up 23% of the combined weight of all food items. It has very poor eyesight, so it depends on special sensory nodes that run in a line on the body from head to tail. It is capable of sensing the slightest vibrations around it with the help of these nodes. 

The Chinese giant salamander is considered to be a ""living fossil"". Although protected under Chinese law and CITES Appendix I, the wild population has declined by more than an estimated 80% since the 1950s. Although traditionally recognized as one of two living species of Andrias salamander in Asia, the other being the Japanese giant salamander, evidence indicates that the Chinese giant salamander may be composed of at least five cryptic species, further compounding each individual species' endangerment."
Clownfish,10-Jul,50-300,Orange,10,Omnivore,Coral Reefs,"Larger Fish, Anemones",8,"Indian, Pacific Oceans",Not Evaluated,Pomacentridae,10-Jun,1.6,Group-based,"Up to 1,000","Clownfish or anemonefish are fishes from the subfamily Amphiprioninae in the family Pomacentridae. Thirty species of clownfish are recognized: one in the genus Premnas, while the remaining are in the genus Amphiprion. In the wild, they all form symbiotic mutualisms with sea anemones. Depending on the species, anemonefish are overall yellow, orange, or a reddish or blackish color, and many show white bars or patches. The largest can reach a length of 17 cm (6+1⁄2 in), while the smallest barely achieve 7–8 cm (2+3⁄4–3+1⁄4 in).

Anemonefish are endemic to the warmer waters of the Indian Ocean, including the Red Sea, and Pacific Ocean, the Great Barrier Reef, Southeast Asia, Japan, and the Indo-Malaysian region. While most species have restricted distributions, others are widespread. Anemonefish typically live at the bottom of shallow seas in sheltered reefs or in shallow lagoons. No anemonefish are found in the Atlantic.

Anemonefish are omnivorous and can feed on undigested food from their host anemones, and the fecal matter from the anemonefish provides nutrients to the sea anemone. Anemonefish primarily feed on small zooplankton from the water column, such as copepods and tunicate larvae, with a small portion of their diet coming from algae, with the exception of Amphiprion perideraion, which primarily feeds on algae.

Anemonefish and sea anemones have a symbiotic, mutualistic relationship, each providing many benefits to the other. The individual species are generally highly host specific. The sea anemone protects the anemonefish from predators, as well as providing food through the scraps left from the anemone's meals and occasional dead anemone tentacles, and functions as a safe nest site. In return, the anemonefish defends the anemone from its predators and parasites. 

The anemone also picks up nutrients from the anemonefish's excrement. The nitrogen excreted from anemonefish increases the number of algae incorporated into the tissue of their hosts, which aids the anemone in tissue growth and regeneration. The activity of the anemonefish results in greater water circulation around the sea anemone, and it has been suggested that their bright coloring might lure small fish to the anemone, which then catches them. Studies on anemonefish have found that they alter the flow of water around sea anemone tentacles by certain behaviors and movements such as ""wedging"" and ""switching"". Aeration of the host anemone tentacles allows for benefits to the metabolism of both partners, mainly by increasing anemone body size and both anemonefish and anemone respiration.

Anemonefish colonies usually consist of the reproductive male and female and a few male juveniles, which help tend the colony. Although multiple males cohabit an environment with a single female, polygamy does not occur and only the adult pair exhibits reproductive behavior. However, if the female dies, the social hierarchy shifts with the breeding male exhibiting protandrous sex reversal to become the breeding female. The largest juvenile then becomes the new breeding male after a period of rapid growth.

In Disney Pixar's 2003 film Finding Nemo and its 2016 sequel Finding Dory main characters Nemo, his father Marlin, and his mother Coral are clownfish from the species A. ocellaris. The popularity of anemonefish for aquaria increased following the film's release; it is the first film associated with an increase in the numbers of those captured in the wild."
Coelacanth,Up to 200,Up to 90,"Brown, Grey",Up to 60,Carnivore,"Deep-sea, Caves","Sharks, Humans",1.6,Western Indian Ocean,Not Evaluated,Latimeriidae,260-330 million years,Not Applicable,Solitary,Not Applicable,"Coelacanths (order Coelacanthiformes) are an ancient group of lobe-finned fish (Sarcopterygii) in the class Actinistia. As sarcopterygians, they are more closely related to lungfish and tetrapods (which includes amphibians, reptiles, birds and mammals) than to ray-finned fish.

Well-represented in both freshwater and marine fossils since the Devonian, they are now represented by only two extant marine species in the genus Latimeria: the West Indian Ocean coelacanth (Latimeria chalumnae), primarily found near the Comoro Islands off the east coast of Africa, and the Indonesian coelacanth (Latimeria menadoensis). The name coelacanth originates from the Permian genus Coelacanthus, which was the first scientifically named coelacanth. The oldest known coelacanth fossils date back more than 410 million years. Coelacanths were thought to have become extinct in the Late Cretaceous, around 66 million years ago, but were discovered living off the coast of South Africa in 1938.

The coelacanth was long considered a ""living fossil"" because scientists thought it was the sole remaining member of a taxon otherwise known only from fossils, with no close relations alive, and that it evolved into roughly its current form approximately 400 million years ago. However, several more recent studies have shown that coelacanth body shapes are much more diverse than previously thought.

Coelacanth locomotion is unique. To move around they most commonly take advantage of up- or down-wellings of current and drift. Their paired fins stabilize movement through the water. While on the ocean floor, they do not use the paired fins for any kind of movement. Coelacanths generate thrust with their caudal fins for quick starts. Due to the abundance of its fins, the coelacanth has high maneuverability and can orient its body in almost any direction in the water. They have been seen doing headstands as well as swimming belly up. It is thought that the rostral organ helps give the coelacanth electroreception, which aids in movement around obstacles.

Coelacanths are fairly peaceful when encountering others of their kind. They do avoid body contact, however, withdrawing immediately if contact occurs. When approached by foreign potential predators (e.g. a submersible), they show panic flight reactions, suggesting that coelacanths are most likely prey to large deepwater predators. Shark bite marks have been seen on coelacanths; sharks are common in areas inhabited by coelacanths. Population estimates range from 210 individuals per population to 500 per population. Because coelacanths have individual color markings, scientists think that they recognize other coelacanths via electric communication.

Coelacanths are nocturnal piscivores that feed mainly on benthic smaller fish and various cephalopods. They are ""passive drift feeders"", slowly drifting along currents with only minimal self-propulsion, eating whatever prey they encounter. Coelacanths also use their rostral organ for its electroreception to be able to detect nearby prey in low light settings.

The IUCN currently classifies L. chalumnae as ""critically endangered"", with a total population size of 500 or fewer individuals. L. menadoensis is considered Vulnerable, with a significantly larger population size (fewer than 10,000 individuals)."
Common Dolphin,200-250,100-135,"Gray, Yellow",20-25,Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",60,Worldwide,Least Concern,Delphinidae,360-380,60,Group-based,1,"The common dolphin (Delphinus delphis) is the most abundant cetacean in the world, with a global population of about six million. Despite this fact and its vernacular name, the common dolphin is not thought of as the archetypal dolphin, with that distinction belonging to the bottlenose dolphin due to its popular appearances in aquaria and the media. However, the common dolphin is often depicted in Ancient Greek and Roman art and culture, most notably in a mural painted by the Greek Minoan civilization.

It is presently the only member of the genus Delphinus. The common dolphin belongs to the subfamily Delphininae, making this dolphin closely related to the three different species of bottlenose dolphins, humpback dolphin, striped dolphin, spinner dolphin, Clymene dolphin, spotted dolphin, Fraser's dolphin, the tucuxi and Guiana dolphin. The common dolphin was originally categorized into two different species (now thought to be ecotypes), the short-beaked common dolphin and the long-beaked common dolphin. However, recent evidence has shown that many populations of long-beaked common dolphins around the world are not closely related to one another and are often derived from a short-beaked ancestor and do not always share common derived characteristics. For this reason, they are no longer considered different species.

Common dolphin are medium-sized dolphins; adults range between 1.9 and 2.5 m (6.2 and 8.2 ft) long, and can weigh between 80–235 kg (176–518 lb), although the range between 80–150 kg (180–330 lb) is more common. Males are generally longer and heavier. The color pattern on the body is unusual. The back is dark and the belly is white, while on each side is an hourglass pattern colored light grey, yellow, or gold in front and dirty grey in back. They have long, thin rostra with up to 50–60 small, sharp, interlocking teeth on each side of each jaw.

Common dolphins live in both warm-temperate and tropical waters ranging from 40–60°N to 50°S. Long-beaked common dolphins mostly inhabit shallow, warm coastal water. Short-beaked common dolphins are common ""along shelf edges and in areas with sharp bottom relief such as seamounts and escarpments"". Common dolphins have a varied diet consisting of many species of fish and squid. This includes both mesopelagic species and epipelagic schooling species. They have been recorded to make dives up to 200 metres (660 ft) deep. 

Common dolphins are a widely distributed species. They can be found around the world in both offshore and coastal waters. Common dolphins can live in aggregations of hundreds or even thousands of dolphins. Common dolphins are often seen in groups numbering several hundred individuals (with subgroups consisting of 20–30 individuals). Occasionally, different groups will come together to form mega-pods which can consist of over 10,000 dolphins. ommon dolphin pod structure often consists of nursery pods (which includes females and calves), bachelor pods (consisting of all males) and mixed groups of males and females, including sub-adults and calves. Genetic evidence seems to indicate that common dolphins live in fission-fusion societies, where dolphins form pods that are not necessarily stable and do not necessarily consist of related individuals. It is not known if common dolphins form lifelong bonds with other individuals like the long-term male alliances seen in bottlenose dolphins.

The common dolphin is probably the most abundant cetacean species on the planet, and the overall species is listed as Least Concern on the IUCN Red List, indicating that it is in no danger of extinction."
Common Snapping Turtle,20-36,4.5-16,"Brown, Gray",30-50,Omnivore,Freshwater,"Birds, Raccoons",Not Applicable,North America,Least Concern,Chelydridae,40-80,Not Applicable,Solitary,20-30,"The common snapping turtle (Chelydra serpentina) is a species of large freshwater turtle in the family Chelydridae. Its natural range extends from southeastern Canada, southwest to the edge of the Rocky Mountains, as far east as Nova Scotia and Florida. The present-day Chelydra serpentina population in the Middle Rio Grande suggests that the common snapping turtle has been present in this drainage since at least the seventeenth century and is likely native. The three species of Chelydra and the larger alligator snapping turtles (genus Macrochelys) are the only extant chelydrids, a family now restricted to the Americas. The common snapping turtle, as its name implies, is the most widespread.

The common snapping turtle is noted for its combative disposition when out of the water with its powerful beak-like jaws, and highly mobile head and neck (hence the specific epithet serpentina, meaning ""snake-like""). In water, it is likely to flee and hide underwater in sediment. The common snapping turtle has a life-history strategy characterized by high and variable mortality of embryos and hatchlings, delayed sexual maturity, extended adult longevity, and iteroparity (repeated reproductive events) with low reproductive success per reproductive event.

Females, and presumably also males, in more northern populations mature later (at 15–20 years) and at a larger size than in more southern populations (about 12 years). Lifespan in the wild is poorly known, but long-term mark-recapture data from Algonquin Park in Ontario, Canada, suggest a maximum age over 100 years.

Common habitats are shallow ponds or streams. Some may inhabit brackish environments, such as estuaries. These sources of water tend to have an abundance of aquatic vegetation due to the shallow pools. Some describe them as habitat generalists as they can occupy most permanent bodies of water. Common snapping turtles sometimes bask—though rarely observed—by floating on the surface with only their carapaces exposed, though in the northern parts of their range, they also readily bask on fallen logs in early spring. In shallow waters, common snapping turtles may lie beneath a muddy bottom with only their heads exposed, stretching their long necks to the surface for an occasional breath. Their nostrils are positioned on the very tip of the snout, effectively functioning as snorkels.

Common snapping turtles are omnivorous. Important aquatic scavengers, they are also active hunters that use ambush tactics to prey on anything they can swallow, including many invertebrates, fish, frogs, other amphibians, reptiles (including snakes and smaller turtles), unwary birds, and small mammals. When they encounter a species unfamiliar to them such as humans, in rare instances, they will become curious and survey the situation and even more rarely may bump their nose on a leg of the person standing in the water. Although common snapping turtles have fierce dispositions, when they are encountered in the water or a swimmer approaches, they will slip quietly away from any disturbance or may seek shelter under mud or grass nearby."
Coquerel's Sifaka,40-50,06-Mar,"White, Black",15-18,Herbivore,"Rainforests, Madagascar","Fossa, Hawks",30-45,Madagascar,Endangered,Indriidae,140-160,30,Group-based,1,"Coquerel's sifaka (Propithecus coquereli) is a diurnal, medium-sized lemur of the sifaka genus Propithecus. It is native to northwest Madagascar. Coquerel's sifaka was once considered a subspecies of Verreaux's sifaka but was eventually granted full species status. It is listed as Critically Endangered on the IUCN Red List due to habitat loss and hunting.

In popular culture, the title character in the children's TV show Zoboomafoo is a Coquerel's sifaka. The species was named after French entomologist Charles Coquerel. The dorsal pelage and tail of Coquerel's sifaka are white, and it has maroon patches on the chest and portions of the limbs. The coat is generally dense. Its face is bare and black except for a distinctive patch of white fur along the bridge of the nose. Its naked ears are also black, and its eyes are yellow or orange. The bottom of the lemur's hands and feet are black, while the thighs, arms, and chest are chocolate brown. Like all lemurs, Coquerel's sifaka has a toothcomb, used for grooming and sometimes scraping fruit off a pit.

This species lives at altitudes less than 300 ft (91 m) in the dry deciduous forests of northwestern Madagascar, including coastal forests. It is found from the Betsiboka River up to the Maevarano River, and in large area between these rivers. Extensive surveys of the species' distribution conducted in 2009, 2010, and 2011 led to the confirmation of its presence in most forest fragments between these rivers. Coquerel's sifaka lives in matriarchal groups of about three to ten individuals. It is diurnal and primarily arboreal. Much is known about its behavior from observations in the wild and in captivity. 

This species' herbivorous diet varies by season. In the wet season, it eats immature leaves, flowers, fruit, bark, and dead wood. In the dry season, it eats mature leaves and buds. It may browse nearly 100 plant species, but the majority of its feeding time is concentrated on about 10% of these. Since it has a very fibrous diet, Coquerel's sifaka has an enlarged cecum and extremely long colon that helps facilitate digestion. These lemurs spend 30-40% of their day foraging, especially in the morning, midday, and evening. Females often lead during foraging and exert their dominance by eating the preferred food or denying the males food until they are satisfied. These lemurs are beneficial to the environment because they aid seed dispersion. Captive Coquerel's sifakas eat shining leaf sumac and mimosa.

Coquerel's sifaka is found in only two protected areas in Madagascar, the Ankarafantsika National Park and the Bora Special Reserve. It is a critically endangered species, according to the IUCN's Red List of Threatened Species, and it is listed in CITES Appendix I. The principal threats to its existence are deforestation, habitat fragmentation, and hunting pressure. The local people often clear trees to produce new farming land, especially in the marshes where rice can be grown. In northwestern Madagascar, deforestation results from annual burning to create new pastureland for livestock. Trees are also cut for the production of charcoal."
